net,length_um
scratch\[2\]\[3\],18.9µm
_0405_,18.7µm
_0762_,18.66µm
current_stage[4],18.65µm
host_input_addr[6],18.65µm
host_output_addr[8],18.65µm
host_output_data[4],18.65µm
_0444_,18.48µm
cycle_count\[0\],18.44µm
scratch\[1\]\[5\],18.43µm
_0665_,18.36µm
scratch\[2\]\[30\],18.34µm
net19,18.28µm
_0736_,18.24µm
scratch\[5\]\[14\],18.04µm
_0661_,18.02µm
scratch\[2\]\[29\],17.94µm
scratch\[2\]\[2\],17.94µm
_0769_,17.92µm
scratch\[3\]\[2\],17.66µm
_0726_,17.6µm
_0772_,17.6µm
scratch\[3\]\[22\],17.58µm
scratch\[3\]\[23\],17.5µm
scratch\[4\]\[1\],17.4µm
net59,17.24µm
scratch\[3\]\[13\],17.1µm
scratch\[7\]\[2\],17.1µm
_0526_,16.78µm
scratch\[2\]\[28\],16.78µm
_0667_,16.76µm
scratch\[3\]\[14\],16.655µm
scratch\[3\]\[9\],16.62µm
_0339_,16.56µm
_0722_,16.44µm
scratch\[2\]\[15\],16.44µm
scratch\[3\]\[10\],16.34µm
scratch\[0\]\[30\],16.3µm
scratch\[2\]\[19\],16.28µm
scratch\[6\]\[14\],16.26µm
scratch\[2\]\[6\],16.24µm
net84,16.2µm
net92,16.18µm
scratch\[3\]\[4\],16.14µm
_0752_,16µm
scratch\[1\]\[23\],15.87µm
net97,15.84µm
scratch\[4\]\[10\],15.705µm
scratch\[1\]\[24\],15.685µm
scratch\[6\]\[2\],15.51µm
scratch\[6\]\[3\],15.46µm
net87,15.46µm
scratch\[5\]\[21\],15.28µm
scratch\[3\]\[20\],15.21µm
scratch\[3\]\[11\],15.2µm
_0413_,15.02µm
scratch\[3\]\[19\],14.98µm
_0400_,14.96µm
scratch\[7\]\[10\],14.92µm
scratch\[7\]\[4\],14.92µm
scratch\[6\]\[16\],14.88µm
_0706_,14.72µm
scratch\[5\]\[24\],14.715µm
scratch\[2\]\[11\],14.7µm
scratch\[0\]\[16\],14.6µm
scratch\[7\]\[8\],14.56µm
scratch\[3\]\[24\],14.52µm
_0005_,14.505µm
_0379_,14.48µm
scratch\[5\]\[11\],14.435µm
_0381_,14.38µm
scratch\[4\]\[6\],14.38µm
_0698_,14.34µm
scratch\[3\]\[0\],14.255µm
_0345_,14.18µm
_0428_,14.18µm
scratch\[6\]\[0\],14.18µm
net17,14.18µm
scratch\[4\]\[15\],14.12µm
scratch\[3\]\[25\],14.04µm
scratch\[1\]\[30\],13.925µm
scratch\[2\]\[10\],13.925µm
scratch\[3\]\[1\],13.9µm
_0658_,13.84µm
scratch\[3\]\[17\],13.72µm
scratch\[3\]\[3\],13.72µm
_0346_,13.7µm
_0447_,13.68µm
scratch\[0\]\[31\],13.68µm
